movieid,moviename,rating,languages,duration,genres,cast,cinema,format,showtime,booking_link
1001,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",City Centre Al Zahia,Standard,['3:30pm'],['https://uae.voxcinemas.com/booking/0055-153087']
1002,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",City Centre Mirdif,Standard,['5:45pm'],['https://uae.voxcinemas.com/booking/0005-556015']
1003,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",Dubai Festival City Mall,Standard,['11:10pm'],['https://uae.voxcinemas.com/booking/0105-57102']
1004,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",Mall of the Emirates,Premier,"['4:25pm', '9:40pm']","['https://uae.voxcinemas.com/booking/0002-561746', 'https://uae.voxcinemas.com/booking/0002-561748']"
1005,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",The Galleria Al Maryah Island,Standard,['3:05pm'],['https://uae.voxcinemas.com/booking/0046-243923']
1006,28 Years Later,15+,English,115 min,"Horror, Thriller, Science Fiction","Jodie Comer, Aaron Taylor-Johnson, Alfie Williams",Yas Mall - Abu Dhabi,Standard,['5:40pm'],['https://uae.voxcinemas.com/booking/0012-486990']
1007,40 Acres,15+,English,110 min,"Drama, Science Fiction, Thriller","Danielle Deadwyler, Kataem O'Connor, Michael Greyeyes",The Galleria Al Maryah Island,Standard,"['9:30pm', '12:50am']","['https://uae.voxcinemas.com/booking/0046-244145', 'https://uae.voxcinemas.com/booking/0046-244770']"
1008,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",City Centre Mirdif,Standard,['8:45pm'],['https://uae.voxcinemas.com/booking/0005-555814']
1009,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",Dubai Festival City Mall,Standard,['5:20pm'],['https://uae.voxcinemas.com/booking/0105-57101']
1010,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",Mall of the Emirates,Premier,['7:00pm'],['https://uae.voxcinemas.com/booking/0002-561747']
1011,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",Nakheel Mall,Standard,['8:00pm'],['https://uae.voxcinemas.com/booking/0049-171159']
1012,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",The Galleria Al Maryah Island,Standard,"['7:55pm', '10:35pm']","['https://uae.voxcinemas.com/booking/0046-243883', 'https://uae.voxcinemas.com/booking/0046-243884']"
1013,Ballerina,15+,English,125 min,"Action, Thriller, Crime","Ana de Armas, Keanu Reeves, Ian McShane",Yas Mall - Abu Dhabi,Standard,['3:00pm'],['https://uae.voxcinemas.com/booking/0012-486988']
1014,Bride Hard,18+,English,110 min,"Action, Comedy","Rebel Wilson, Anna Camp, Anna Chlumsky",The Galleria Al Maryah Island,Standard,['5:35pm'],['https://uae.voxcinemas.com/booking/0046-243924']
1015,Dangerous Animals,15+,English,100 min,"Horror, Thriller","Hassie Harrison, Jai Courtney, Josh Heuston",Wafi Mall at Wafi City,Standard,"['4:45pm', '11:40pm']","['https://uae.voxcinemas.com/booking/0057-114177', 'https://uae.voxcinemas.com/booking/0057-114406']"
1016,Detective Conan: One Eyed Flashback,PG,Japanese,110 min,"Animation, Action, Mystery, Crime","Minami Takayama, Wakana Yamazaki, 来看淫民性交片网：448𝟖𝟰𝟲𝟿.com  看淫民性交片网：448𝟖𝟰𝟲𝟿.com",City Centre Al Zahia,Standard,['6:00pm'],['https://uae.voxcinemas.com/booking/0055-153088']
1017,Detective Conan: One Eyed Flashback,PG,Japanese,110 min,"Animation, Action, Mystery, Crime","Minami Takayama, Wakana Yamazaki, 来看淫民性交片网：448𝟖𝟰𝟲𝟿.com  看淫民性交片网：448𝟖𝟰𝟲𝟿.com",City Centre Fujairah,Standard,['3:50pm'],['https://uae.voxcinemas.com/booking/0006-294066']
1018,Detective Conan: One Eyed Flashback,PG,Japanese,110 min,"Animation, Action, Mystery, Crime","Minami Takayama, Wakana Yamazaki, 来看淫民性交片网：448𝟖𝟰𝟲𝟿.com  看淫民性交片网：448𝟖𝟰𝟲𝟿.com",City Centre Mirdif,Standard,['3:25pm'],['https://uae.voxcinemas.com/booking/0005-556014']
1019,Detective Conan: One Eyed Flashback,PG,Japanese,110 min,"Animation, Action, Mystery, Crime","Minami Takayama, Wakana Yamazaki, 来看淫民性交片网：448𝟖𝟰𝟲𝟿.com  看淫民性交片网：448𝟖𝟰𝟲𝟿.com",The Galleria Al Maryah Island,Standard,['4:00pm'],['https://uae.voxcinemas.com/booking/0046-244143']
